exp_index,subject,condition,scenario,box_weight,contestant,strength,effort,resp,s1,s2,e1,e2
1b,1,fail,1,8,1,5,20,10,5,5,20,60
1b,1,fail,1,8,2,5,60,7,5,5,20,60
1b,1,fail,2,8,1,6,30,8,6,6,30,80
1b,1,fail,2,8,2,6,80,2,6,6,30,80
1b,1,fail,3,6,1,4,30,10,4,4,30,60
1b,1,fail,3,6,2,4,60,7,4,4,30,60
1b,1,fail,4,8,1,5,20,10,5,5,20,70
1b,1,fail,4,8,2,5,70,3,5,5,20,70
1b,1,fail,5,10,1,8,20,10,8,8,20,40
1b,1,fail,5,10,2,8,40,5,8,8,20,40
1b,1,fail,6,8,1,4,40,6,4,8,40,40
1b,1,fail,6,8,2,8,40,8,4,8,40,40
1b,1,fail,7,8,1,4,60,7,4,6,60,60
1b,1,fail,7,8,2,6,60,8,4,6,60,60
1b,1,fail,8,8,1,2,50,6,2,8,50,50
1b,1,fail,8,8,2,8,50,8,2,8,50,50
1b,1,fail,9,10,1,5,70,7,5,7,70,70
1b,1,fail,9,10,2,7,70,7,5,7,70,70
1b,1,fail,10,9,1,6,30,8,6,8,30,30
1b,1,fail,10,9,2,8,30,10,6,8,30,30
1b,1,fail,11,6,1,2,60,7,2,6,60,20
1b,1,fail,11,6,2,6,20,10,2,6,60,20
1b,1,fail,12,6,1,3,80,4,3,6,80,40
1b,1,fail,12,6,2,6,40,8,3,6,80,40
1b,1,fail,13,7,1,4,30,8,4,6,30,20
1b,1,fail,13,7,2,6,20,10,4,6,30,20
1b,1,fail,14,10,1,5,80,3,5,8,80,50
1b,1,fail,14,10,2,8,50,7,5,8,80,50
1b,1,fail,15,9,1,6,40,7,6,8,40,30
1b,1,fail,15,9,2,8,30,10,6,8,40,30
1b,1,lift,16,2,1,5,20,5,5,5,20,60
1b,1,lift,16,2,2,5,60,8,5,5,20,60
1b,1,lift,17,4,1,6,30,5,6,6,30,80
1b,1,lift,17,4,2,6,80,10,6,6,30,80
1b,1,lift,18,2,1,4,30,5,4,4,30,60
1b,1,lift,18,2,2,4,60,10,4,4,30,60
1b,1,lift,19,3,1,5,20,4,5,5,20,70
1b,1,lift,19,3,2,5,70,10,5,5,20,70
1b,1,lift,20,2,1,8,20,6,8,8,20,40
1b,1,lift,20,2,2,8,40,9,8,8,20,40
1b,1,lift,21,2,1,4,40,10,4,8,40,40
1b,1,lift,21,2,2,8,40,10,4,8,40,40
1b,1,lift,22,3,1,4,60,10,4,6,60,60
1b,1,lift,22,3,2,6,60,10,4,6,60,60
1b,1,lift,23,3,1,2,50,7,2,8,50,50
1b,1,lift,23,3,2,8,50,10,2,8,50,50
1b,1,lift,24,4,1,5,70,10,5,7,70,70
1b,1,lift,24,4,2,7,70,10,5,7,70,70
1b,1,lift,25,2,1,6,30,10,6,8,30,30
1b,1,lift,25,2,2,8,30,10,6,8,30,30
1b,2,fail,1,8,1,5,20,8,5,5,20,60
1b,2,fail,1,8,2,5,60,2,5,5,20,60
1b,2,fail,2,8,1,6,30,8,6,6,30,80
1b,2,fail,2,8,2,6,80,2,6,6,30,80
1b,2,fail,3,6,1,4,30,5,4,4,30,60
1b,2,fail,3,6,2,4,60,2,4,4,30,60
1b,2,fail,4,8,1,5,20,9,5,5,20,70
1b,2,fail,4,8,2,5,70,2,5,5,20,70
1b,2,fail,5,10,1,8,20,8,8,8,20,40
1b,2,fail,5,10,2,8,40,5,8,8,20,40
1b,2,fail,6,8,1,4,40,4,4,8,40,40
1b,2,fail,6,8,2,8,40,9,4,8,40,40
1b,2,fail,7,8,1,4,60,3,4,6,60,60
1b,2,fail,7,8,2,6,60,5,4,6,60,60
1b,2,fail,8,8,1,2,50,2,2,8,50,50
1b,2,fail,8,8,2,8,50,8,2,8,50,50
1b,2,fail,9,10,1,5,70,2,5,7,70,70
1b,2,fail,9,10,2,7,70,8,5,7,70,70
1b,2,fail,10,9,1,6,30,9,6,8,30,30
1b,2,fail,10,9,2,8,30,9,6,8,30,30
1b,2,fail,11,6,1,2,60,1,2,6,60,20
1b,2,fail,11,6,2,6,20,9,2,6,60,20
1b,2,fail,12,6,1,3,80,1,3,6,80,40
1b,2,fail,12,6,2,6,40,8,3,6,80,40
1b,2,fail,13,7,1,4,30,4,4,6,30,20
1b,2,fail,13,7,2,6,20,8,4,6,30,20
1b,2,fail,14,10,1,5,80,2,5,8,80,50
1b,2,fail,14,10,2,8,50,9,5,8,80,50
1b,2,fail,15,9,1,6,40,5,6,8,40,30
1b,2,fail,15,9,2,8,30,8,6,8,40,30
1b,2,lift,16,2,1,5,20,1,5,5,20,60
1b,2,lift,16,2,2,5,60,8,5,5,20,60
1b,2,lift,17,4,1,6,30,0,6,6,30,80
1b,2,lift,17,4,2,6,80,10,6,6,30,80
1b,2,lift,18,2,1,4,30,2,4,4,30,60
1b,2,lift,18,2,2,4,60,8,4,4,30,60
1b,2,lift,19,3,1,5,20,2,5,5,20,70
1b,2,lift,19,3,2,5,70,9,5,5,20,70
1b,2,lift,20,2,1,8,20,4,8,8,20,40
1b,2,lift,20,2,2,8,40,5,8,8,20,40
1b,2,lift,21,2,1,4,40,4,4,8,40,40
1b,2,lift,21,2,2,8,40,7,4,8,40,40
1b,2,lift,22,3,1,4,60,5,4,6,60,60
1b,2,lift,22,3,2,6,60,7,4,6,60,60
1b,2,lift,23,3,1,2,50,4,2,8,50,50
1b,2,lift,23,3,2,8,50,8,2,8,50,50
1b,2,lift,24,4,1,5,70,8,5,7,70,70
1b,2,lift,24,4,2,7,70,9,5,7,70,70
1b,2,lift,25,2,1,6,30,5,6,8,30,30
1b,2,lift,25,2,2,8,30,8,6,8,30,30
1b,3,fail,1,8,1,5,20,9,5,5,20,60
1b,3,fail,1,8,2,5,60,3,5,5,20,60
1b,3,fail,2,8,1,6,30,10,6,6,30,80
1b,3,fail,2,8,2,6,80,0,6,6,30,80
1b,3,fail,3,6,1,4,30,7,4,4,30,60
1b,3,fail,3,6,2,4,60,3,4,4,30,60
1b,3,fail,4,8,1,5,20,9,5,5,20,70
1b,3,fail,4,8,2,5,70,2,5,5,20,70
1b,3,fail,5,10,1,8,20,8,8,8,20,40
1b,3,fail,5,10,2,8,40,6,8,8,20,40
1b,3,fail,6,8,1,4,40,4,4,8,40,40
1b,3,fail,6,8,2,8,40,6,4,8,40,40
1b,3,fail,7,8,1,4,60,7,4,6,60,60
1b,3,fail,7,8,2,6,60,5,4,6,60,60
1b,3,fail,8,8,1,2,50,2,2,8,50,50
1b,3,fail,8,8,2,8,50,8,2,8,50,50
1b,3,fail,9,10,1,5,70,8,5,7,70,70
1b,3,fail,9,10,2,7,70,3,5,7,70,70
1b,3,fail,10,9,1,6,30,8,6,8,30,30
1b,3,fail,10,9,2,8,30,6,6,8,30,30
1b,3,fail,11,6,1,2,60,3,2,6,60,20
1b,3,fail,11,6,2,6,20,9,2,6,60,20
1b,3,fail,12,6,1,3,80,2,3,6,80,40
1b,3,fail,12,6,2,6,40,9,3,6,80,40
1b,3,fail,13,7,1,4,30,5,4,6,30,20
1b,3,fail,13,7,2,6,20,8,4,6,30,20
1b,3,fail,14,10,1,5,80,7,5,8,80,50
1b,3,fail,14,10,2,8,50,6,5,8,80,50
1b,3,fail,15,9,1,6,40,3,6,8,40,30
1b,3,fail,15,9,2,8,30,7,6,8,40,30
1b,3,lift,16,2,1,5,20,3,5,5,20,60
1b,3,lift,16,2,2,5,60,8,5,5,20,60
1b,3,lift,17,4,1,6,30,2,6,6,30,80
1b,3,lift,17,4,2,6,80,9,6,6,30,80
1b,3,lift,18,2,1,4,30,3,4,4,30,60
1b,3,lift,18,2,2,4,60,8,4,4,30,60
1b,3,lift,19,3,1,5,20,2,5,5,20,70
1b,3,lift,19,3,2,5,70,9,5,5,20,70
1b,3,lift,20,2,1,8,20,5,8,8,20,40
1b,3,lift,20,2,2,8,40,8,8,8,20,40
1b,3,lift,21,2,1,4,40,10,4,8,40,40
1b,3,lift,21,2,2,8,40,10,4,8,40,40
1b,3,lift,22,3,1,4,60,6,4,6,60,60
1b,3,lift,22,3,2,6,60,8,4,6,60,60
1b,3,lift,23,3,1,2,50,3,2,8,50,50
1b,3,lift,23,3,2,8,50,9,2,8,50,50
1b,3,lift,24,4,1,5,70,7,5,7,70,70
1b,3,lift,24,4,2,7,70,10,5,7,70,70
1b,3,lift,25,2,1,6,30,10,6,8,30,30
1b,3,lift,25,2,2,8,30,10,6,8,30,30
1b,4,fail,1,8,1,5,20,6,5,5,20,60
1b,4,fail,1,8,2,5,60,3,5,5,20,60
1b,4,fail,2,8,1,6,30,7,6,6,30,80
1b,4,fail,2,8,2,6,80,3,6,6,30,80
1b,4,fail,3,6,1,4,30,5,4,4,30,60
1b,4,fail,3,6,2,4,60,3,4,4,30,60
1b,4,fail,4,8,1,5,20,5,5,5,20,70
1b,4,fail,4,8,2,5,70,3,5,5,20,70
1b,4,fail,5,10,1,8,20,6,8,8,20,40
1b,4,fail,5,10,2,8,40,4,8,8,20,40
1b,4,fail,6,8,1,4,40,4,4,8,40,40
1b,4,fail,6,8,2,8,40,7,4,8,40,40
1b,4,fail,7,8,1,4,60,5,4,6,60,60
1b,4,fail,7,8,2,6,60,5,4,6,60,60
1b,4,fail,8,8,1,2,50,4,2,8,50,50
1b,4,fail,8,8,2,8,50,6,2,8,50,50
1b,4,fail,9,10,1,5,70,5,5,7,70,70
1b,4,fail,9,10,2,7,70,5,5,7,70,70
1b,4,fail,10,9,1,6,30,5,6,8,30,30
1b,4,fail,10,9,2,8,30,5,6,8,30,30
1b,4,fail,11,6,1,2,60,4,2,6,60,20
1b,4,fail,11,6,2,6,20,6,2,6,60,20
1b,4,fail,12,6,1,3,80,2,3,6,80,40
1b,4,fail,12,6,2,6,40,8,3,6,80,40
1b,4,fail,13,7,1,4,30,4,4,6,30,20
1b,4,fail,13,7,2,6,20,6,4,6,30,20
1b,4,fail,14,10,1,5,80,4,5,8,80,50
1b,4,fail,14,10,2,8,50,6,5,8,80,50
1b,4,fail,15,9,1,6,40,4,6,8,40,30
1b,4,fail,15,9,2,8,30,6,6,8,40,30
1b,4,lift,16,2,1,5,20,2,5,5,20,60
1b,4,lift,16,2,2,5,60,6,5,5,20,60
1b,4,lift,17,4,1,6,30,3,6,6,30,80
1b,4,lift,17,4,2,6,80,6,6,6,30,80
1b,4,lift,18,2,1,4,30,3,4,4,30,60
1b,4,lift,18,2,2,4,60,6,4,4,30,60
1b,4,lift,19,3,1,5,20,2,5,5,20,70
1b,4,lift,19,3,2,5,70,7,5,5,20,70
1b,4,lift,20,2,1,8,20,5,8,8,20,40
1b,4,lift,20,2,2,8,40,10,8,8,20,40
1b,4,lift,21,2,1,4,40,4,4,8,40,40
1b,4,lift,21,2,2,8,40,6,4,8,40,40
1b,4,lift,22,3,1,4,60,4,4,6,60,60
1b,4,lift,22,3,2,6,60,6,4,6,60,60
1b,4,lift,23,3,1,2,50,5,2,8,50,50
1b,4,lift,23,3,2,8,50,5,2,8,50,50
1b,4,lift,24,4,1,5,70,4,5,7,70,70
1b,4,lift,24,4,2,7,70,6,5,7,70,70
1b,4,lift,25,2,1,6,30,5,6,8,30,30
1b,4,lift,25,2,2,8,30,5,6,8,30,30
1b,5,fail,1,8,1,5,20,8,5,5,20,60
1b,5,fail,1,8,2,5,60,2,5,5,20,60
1b,5,fail,2,8,1,6,30,8,6,6,30,80
1b,5,fail,2,8,2,6,80,2,6,6,30,80
1b,5,fail,3,6,1,4,30,7,4,4,30,60
1b,5,fail,3,6,2,4,60,3,4,4,30,60
1b,5,fail,4,8,1,5,20,7,5,5,20,70
1b,5,fail,4,8,2,5,70,3,5,5,20,70
1b,5,fail,5,10,1,8,20,6,8,8,20,40
1b,5,fail,5,10,2,8,40,4,8,8,20,40
1b,5,fail,6,8,1,4,40,5,4,8,40,40
1b,5,fail,6,8,2,8,40,5,4,8,40,40
1b,5,fail,7,8,1,4,60,5,4,6,60,60
1b,5,fail,7,8,2,6,60,5,4,6,60,60
1b,5,fail,8,8,1,2,50,8,2,8,50,50
1b,5,fail,8,8,2,8,50,2,2,8,50,50
1b,5,fail,9,10,1,5,70,5,5,7,70,70
1b,5,fail,9,10,2,7,70,5,5,7,70,70
1b,5,fail,10,9,1,6,30,5,6,8,30,30
1b,5,fail,10,9,2,8,30,5,6,8,30,30
1b,5,fail,11,6,1,2,60,2,2,6,60,20
1b,5,fail,11,6,2,6,20,8,2,6,60,20
1b,5,fail,12,6,1,3,80,2,3,6,80,40
1b,5,fail,12,6,2,6,40,8,3,6,80,40
1b,5,fail,13,7,1,4,30,4,4,6,30,20
